工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
ＰＩ物揚場廃棄物処理クレーン撤去解体工事,2022/10/5,事後審査型制限付一般競争入札,5,4135000,4660000,4021500,（株）玉建,機械器具その他,0.863
有明橋他１橋補修工事,2022/8/3,事後審査型制限付一般競争入札,14,26581500,30749000,26581100,日本ロード・メンテナンス（株）,鋼構造物,0.864
五社橋補修工事,2022/6/3,事後審査型制限付一般競争入札,14,9453200,10920000,9450600,日本ロード・メンテナンス（株）,土木その他,0.865
外大東歩道橋補修工事,2022/4/15,事後審査型制限付一般競争入札,13,22377500,25760000,22377500,（株）大津工業,鋼構造物,0.869
中央区中山手通７丁目擁壁補強工事,2022/4/13,事後審査型制限付一般競争入札,10,3529130,3923000,3413000,（株）キタイ装建,土木その他,0.87
令和４年度　神戸外国人墓地舗装改修工事,2022/7/6,事後審査型制限付一般競争入札,21,5988000,6885000,5988000,（有）高木工務店,舗装,0.87
令和４年度中部管内大型案内標識建替工事,2022/8/5,事後審査型制限付一般競争入札,13,15831600,18067000,15723400,富国合成塗料（株）,交通安全施設,0.87
東垂水３０号線歩道設置工事,2022/10/5,事後審査型制限付一般競争入札 合併入札,5,19049000,21403000,18625600,（株）ＺＥＲＯ建設,土木一般,0.87
乙木谷２号雨水幹線撤去工事,2022/10/5,事後審査型制限付一般競争入札 合併入札,5,19049000,21403000,18625600,（株）ＺＥＲＯ建設,土木一般,0.87
舞多聞中公園交差点改良工事,2022/10/5,事後審査型制限付一般競争入札,9,16335200,18755000,16334200,玉津第一建設,土木一般,0.871
新川プロムナード休憩所設置工事,2022/4/13,事後審査型制限付一般競争入札,19,13862300,15857000,13835400,（有）大西園芸,造園一般,0.873
中山手公園施設改修工事,2022/7/8,事後審査型制限付一般競争入札,13,8186800,9352000,8168200,（株）メイテク,造園一般,0.873
六甲山牧場内給水管工事,2022/9/7,事後審査型制限付一般競争入札,2,9603000,9603000,8381400,（有）イズミテック,土木一般,0.873
舞子多聞線街渠等補修工事,2022/10/7,事後審査型制限付一般競争入札,5,24576000,28164000,24575800,住本道路（株）,土木一般,0.873
三木三田線道路防災対策工事,2022/4/15,事後審査型制限付一般競争入札,13,10824600,12379000,10824600,北創土木（株）,法面,0.874
令和４年度（前期）垂水管内側溝整備単価契約工事,2022/4/15,単価契約,14,15484,17689,15484,富国合成塗料（株）,土木一般,0.875
令和４年度平井川改修工事,2022/9/7,事後審査型制限付一般競争入札,5,14583700,16667000,14582900,北創土木（株）,土木一般,0.875
国産波止場駐車場整備工事,2022/5/11,事後審査型制限付一般競争入札,48,18471700,21081000,18471700,（株）三谷組,土木一般,0.876
兵庫津ミュージアム前歩道改良工事,2022/6/3,事後審査型制限付一般競争入札,21,26815500,30616000,26815000,（株）高橋組,舗装,0.876
長田楠日尾線（熊内）側溝改修工事（その２）,2022/10/7,事後審査型制限付一般競争入札,5,15772500,17958000,15748100,（有）ダイエイ住建,土木一般,0.877
六甲有料道路管渠補修工事（６．１５ｋｐ）,2022/8/5,事後審査型制限付一般競争入札,2,24800000,24838000,21795700,（株）ランドグリーン,鋼構造物,0.878
仙人橋・東谷橋補修工事,2022/6/1,事後審査型制限付一般競争入札,19,57540000,65436000,57518200,（株）コンテック,鋼構造物,0.879
藍那トンネル監査歩廊改修工事,2022/7/6,事後審査型制限付一般競争入札,13,26294100,29927000,26294100,山崎建設（株）,土木一般,0.879
浜山小学校運動場改修工事,2022/6/1,事後審査型制限付一般競争入札,22,13758100,15632000,13758100,関西造園土木（株）,運動施設,0.88
令和４年度六甲北有料道路　法面強靭化対策工事（その１）,2022/6/3,事後審査型制限付一般競争入札,12,27272800,31005000,27270900,（有）ナガイ住建,法面,0.88
千苅導水路第１水管橋補修工事その２,2022/10/5,事後審査型制限付一般競争入札,5,43434000,48926000,43039300,（有）風,鋼構造物,0.88
将軍通１丁目地区他汚水管撤去工事,2022/5/20,事後審査型制限付一般競争入札,9,25433200,28884000,25432500,（株）吉田工業,土木一般,0.881
令和４年度（後期）中部管内舗装補修単価契約工事,2022/9/9,単価契約,46,2958,3355,2958,（株）前野組,舗装,0.882
多聞伊川谷線（明舞シェルター）吸音板撤去工事,2023/6/7,事後審査型制限付一般競争入札,14,5986000,6778000,5983900,（株）シビルロード,土木一般,0.883
長田港桟橋整備工事,2022/5/20,事後審査型制限付一般競争入札,4,67100000,68942000,60886500,兵庫県湾岸開発（株）,港湾土木,0.883
御影中町６丁目地区他汚水管改築更新工事,2022/8/5,事後審査型制限付一般競争入札,16,61950000,69913000,61765500,京阪神道路サービス（株）,土木その他,0.883
令和４年度（後期）西部管内舗装補修単価契約工事,2022/9/9,単価契約,57,2936,3326,2936,（株）中山緑地建設,舗装,0.883
令和７年度　東部、中部、西部及び垂水管内橋梁等補修単価契約工事,2025/3/5,単価契約,21,185692,210025,185692,日本ロード・メンテナンス（株）,土木その他,0.884
住吉橋（北側歩道橋）補修工事,2024/1/26,事後審査型制限付一般競争入札,25,20711200,23431000,20711200,日本ロード・メンテナンス（株）,鋼構造物,0.884
