工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
中央幹線ライトアップ工事,2024/8/7,事後審査型制限付一般競争入札,8,26325000,28721000,25688000,（株）オールライト,電気一般,0.894
灘特１高層配水池電送線復旧工事,2024/7/10,事後審査型制限付一般競争入札,6,5867000,6454000,5798500,（株）シンテック,電気専門,0.898
新港第４突堤受電ケーブル他更新工事,2025/1/22,事後審査型制限付一般競争入札,9,3626000,4000000,3592500,大東電設（株）,電気一般,0.898
北神線谷上指令所設備撤去工事,2025/1/22,事後審査型制限付一般競争入札,3,8050000,8690000,7862800,日本テクトス（株）,電気通信,0.905
東白川特２高層配水場電送ケーブル他仮設工事,2024/8/7,事後審査型制限付一般競争入札,17,15550000,17000000,15416500,（株）オールライト,電気一般,0.907
北野子局雷害対策工事,2024/8/9,事後審査型制限付一般競争入札,3,3540000,3744000,3395000,（株）シンテック,電気専門,0.907
重池第二住宅照明設備改修工事,2025/1/22,事後審査型制限付一般競争入札,11,2813000,3090000,2804100,（株）三谷電気,電気一般,0.907
長田区文化センター空調用動力制御盤更新工事,2024/6/5,事後審査型制限付一般競争入札,9,8780000,8890000,8078300,（株）エス・イーワークス,電気一般,0.909
ポートアイランド（第２期）西緑地園路照明ＬＥＤ化工事,2024/11/8,事後審査型制限付一般競争入札,18,6511000,7150000,6507100,（株）エス・イーワークス,電気一般,0.91
東灘処理場他高所照明設備改修工事,2024/6/7,事後審査型制限付一般競争入札,42,11648000,12790000,11645800,マサニ電気（株）,電気一般,0.911
東多聞住宅３８号棟照明設備改修工事,2024/8/2,事後審査型制限付一般競争入札,38,8291000,9100000,8290500,（株）エス・イーワークス,電気一般,0.911
新港第１突堤基部プロムナード照明設備工事,2024/7/5,事後審査型制限付一般競争入札,39,9922000,10880000,9920700,（株）エス・イーワークス,電気一般,0.912
三宮駐車場エレベーター棟他増築電気設備工事,2024/6/5,事後審査型制限付一般競争入札,21,22383000,24490000,22367500,（株）シンテック,電気一般,0.913
シルバーハイツ灘北住宅緊急通報システム改修工事,2024/12/6,事後審査型制限付一般競争入札,19,22860000,24850000,22712000,エムツウ（株）,電気一般,0.914
ポートアイランドＲバース照明塔ＬＥＤ化他工事,2025/1/29,事後審査型制限付一般競争入札,26,22303000,24360000,22274700,マサニ電気（株）,電気一般,0.914
東部在宅障害者福祉センターキュービクル改修工事,2025/2/7,事後審査型制限付一般競争入札,15,17409000,19030000,17393600,ケイテック（株）,電気一般,0.914
学が丘中層配水場有線テレメータ化工事,2024/6/7,事後審査型制限付一般競争入札,3,10725000,10725000,9815100,（株）大同電機製作所,電気専門,0.915
六甲アイランドＰＱバース照明設備他工事,2024/7/10,事後審査型制限付一般競争入札,38,19345000,21130000,19340600,有元温調（株）,電気一般,0.915
御崎車庫ＩＴＶ設備更新工事,2024/8/7,事後審査型制限付一般競争入札,20,11070000,12090000,11067100,富岡受信システム（株）,電気一般,0.915
六甲アイランド７号上屋受変電設備更新工事,2024/9/11,事後審査型制限付一般競争入札,29,27228000,29730000,27203900,サン電設工業（株）,電気専門,0.915
六甲アイランド５号上屋受変電設備更新工事,2024/9/4,事後審査型制限付一般競争入札,28,22138800,24150000,22132600,（株）ナカケン,電気専門,0.916
岩屋北住宅照明設備改修工事,2025/1/24,事後審査型制限付一般競争入札,22,9851000,10730000,9836400,ケイテック（株）,電気一般,0.917
新太山寺トンネル非常警報設備更新工事,2025/2/5,事後審査型制限付一般競争入札,6,57570000,57670000,52888900,コガセ工業（株）,電気一般,0.917
舞子山手住宅２・３号棟緊急通報システム改修工事,2025/3/5,事後審査型制限付一般競争入札,13,36080000,39280000,36014700,東報サービス（株）,電気一般,0.917
（仮称）五色塚古墳ガイダンス施設整備昇降機設備工事,2024/12/6,事後審査型制限付一般競争入札,3,16740000,16740000,15373000,フジテック（株）,昇降機,0.918
（仮称）新雲中地域活動拠点・旗塚児童館新築電気設備工事,2025/1/29,事後審査型制限付一般競争入札,14,58418300,63480000,58300100,近畿総合設備（株）,電気一般,0.918
山田小学校昇降機設備工事,2024/4/17,事後審査型制限付一般競争入札,2,16870000,16870000,15495400,三精テクノロジーズ（株）,昇降機,0.919
つつじが丘小学校エレベーター設置工事,2024/4/17,事後審査型制限付一般競争入札,2,17920000,17920000,16468200,フジテック（株）,昇降機,0.919
神の谷小学校昇降機設備設置工事,2024/4/17,事後審査型制限付一般競争入札,2,17920000,17920000,16468200,フジテック（株）,昇降機,0.919
三宮変電所他３か所蓄電池更新工事,2024/10/4,事後審査型制限付一般競争入札,28,27370000,29750000,27347500,（株）ショーシン,電気専門,0.919
メリケンパークステージ音響設備工事,2025/1/22,事後審査型制限付一般競争入札,13,10875800,11570000,10629100,太昭電設（株）,電気専門,0.919
西神・山手線・北神線変周式ＡＴＯ地上子撤去工事,2025/3/5,事後審査型制限付一般競争入札,3,33783000,35980000,33075400,（株）大神電設,電気専門,0.919
布施畑排水管理施設電気設備改修工事,2024/8/7,事後審査型制限付一般競争入札,31,36638000,39820000,36636800,（株）シモデン,電気専門,0.92
